slug,title,Year,link,blurb,School name,Helpers,Head
CC2016,The Universal Crime,2016,https://www.amazon.co.uk/gp/product/1534752463/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i9,"Ben turned to the side, quick breaths, sweat gushing down his bruised forehead and neck like a violent stream of lava. His legs numbed, the ground opened wide, he was falling, leaving; his short lived time was almost up. The forgotten secrets and only if he had known a little earlier, it would have been a different story. This lucid event was bound to happen; it was a simple mission that went terribly wrong, or did it?",Croydon College,"[' Natalie Morton', ' Ruaridh MacLean', ' Louise King', ' Frances Shrimpton', 'And a special thanks to James Dean and Chantal Irtelli']",Yes
Willows2016,The Words of Emvarsaer,2016,https://www.amazon.co.uk/Words-Emvarsaer-Tim-Cooks-ebook/dp/B01ICDDIQO/ref=sr_1_1?keywords=Cooks+%22The+Words+of+Emvarsaer%22&qid=1635939099&s=books&sr=1-1,"Crystal, Leo, Tom, Kyle and Sam are good school friends but when all the stories disappear they have to team up to win the fight. There is an evil force taking the stories away from the world. No one knows they were ever there except for those children. There is also a force of good that will help them along the way but will they find it? Work together and they will succeed but can they do it? Will all the stories return to Earth or will they be gone forever? ",Special,"[' Laura Rowles', ' Richard Seymour', ' Charlotte Pearse', ' Rachel Williams ', ' Charlotte Beltran', ' Sheila Capewell', ' Amanda Ball']",#N/A
C2016,Cloud Attack,2016,https://www.amazon.co.uk/gp/product/1530017483/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i10,Do you like like the sound of conflict? Well then here’s the book for you. Stormzy is a cloud who is 14 and takes on a very important role when a disaster strikes; A war between humans and clouds. Stormzy and his friends try to put it right.... But will it help? Could it destroy Cloudville? Want to find out? Then you’d better open the book now! This book portrays a very important message and I think you will enjoy the book so don't just stand there reading the blurb open the front cover and start reading!,Mount Carmel Catholic College,"[' Peter Bremner', ' Nicole Haynes', ' Emma Simpson', ' The MC English Department', ' Cathy Heath']",Yes
SYP2016,A Forgotten Family,2016,https://www.amazon.co.uk/Forgotten-Family-Tim-Cooks-ebook/dp/B01I42CYR2/ref=sr_1_1?keywords=Cooks+%22A+Forgotten+Family%22&qid=1635938916&s=books&sr=1-1,"Greg Jenkins was a normal 16yr old boy until he returned to the school St Irene’s. This term was not a normal one, meeting a creepy boy on the first day he discovered something about himself that made him so unique. Follow the adventure of the three friends as they try to save a man from the past. Would they succeed or would they fail. Join them to find out the secrets of the school and its teachers.
","Shaftesbury Young People (Amy, Charlotte, Jo, Kerrie, Dan, Clare and Becci)","[' Dominic Bromley', ' Owain Groves', ' Laura Rowles ', ' Richard Seymour']",#N/A
HW2016,Rogue,2016,https://www.amazon.co.uk/gp/product/1539672166/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i7,"Harriet Treadwell, the fourteen year old with a difference. Chris Williamson, the girl with the skin of stone and a heart of gold. The care home filled with unfortunate incidents. Living a poor life. The cruel life. The harsh life. Chloe, Cassie and Ryan, all too clever for their own good. Mark, always in the wrong place at the wrong time. And VICKE. Artificial Intelligence. A deadly gang. Runaways. Death.",Hinchley Wood Secondary School,"[' Ben Bartlett', ' Maria Cachia', ' Mike Robeson']",Yes
SC2016,The Leather-Bound Sacrilege,2016,https://www.amazon.co.uk/Leather-Bound-Sacrilege-Tim-Cooks-ebook/dp/B01HL3I5IC/ref=sr_1_1?keywords=Cooks+%22The+Leather-Bound+Sacrilege%22&qid=1635938888&s=books&sr=1-1,"Have you ever wanted to re-write your story? To change your future with the words you wield?

When Annabelle Sorrentino stumbles across a mystical book in her mother’s attic, this is the dilemma that she is faced with. With a power as tempting as the devil himself, and potentially just as evil, how far is she willing to go to fulfil her darkest desires?

Weighed down by the Book’s bloody and destructive past, Anna must tread carefully if she is to make it out of this alive. ","Strode’s 6th Form College, Egham",[' The English Department'],Yes
SN2016,One Day or No Day,2016,https://www.amazon.co.uk/One-Day-No-Tim-Cooks-ebook/dp/B01I5PQ7XA/ref=sr_1_1?dchild=1&keywords=one+day+or+no+day&qid=1633615166&s=books&sr=1-1,https://www.amazon.co.uk/One-Day-No-Tim-Cooks-ebook/dp/B01I5PQ7XA/ref=sr_1_1?dchild=1&keywords=one+day+or+no+day&qid=1633615166&s=books&sr=1-1,St Nathaniel’s Academy,"[' Harriet Burgess-Barker', ' Laura Rowles', ' Mr Craig Wood ', ' Mr Dave Sladen', ' Miss Lucy Clarke', ' Mr Danny Jordan']",Yes
KU2016,The Charms of Terraglacia,2016,https://www.amazon.co.uk/Charms-Terraglacia-Tim-Cooks/dp/1534696652/ref=sr_1_1?keywords=Cooks+%22The+Charms+of+Terraglacia%22&qid=1635937897&s=books&sr=1-1,"John Milk had only ever known his home to be a land of ice and order. The Elders’ Council oversaw all aspects of life, his sister Lily whiled away her time carving protective charms and John himself spent his days working on the farmland. However, everything changes when he finds a mysterious relic in the ice. One discovery leads to another and, before the ice has a chance to thaw, John finds himself questioning everything that he knows.
",University,"[' Richard Seymour', ' Nick Garnett', ' Matt Coombe-Boxall', ' Lisa McWilliams', ' Michael Matti and Anastasia Driga for cover design']",#N/A
WS2016,The Awakening Portrait,2016,https://www.amazon.co.uk/Awakening-Portrait-Tim-Cooks-ebook/dp/B01HOUZI0U/ref=sr_1_1?keywords=Cooks+%22The+Awakening+Portrait%22&qid=1635939120&s=books&sr=1-1,"Lilli is an astronaut. She has just returned from the international space station when she then discovers that all the children had disappeared of the face of the earth. People start to forget that children even existed. It's chaos, children are disappearing left right and centre. What’s going on!? Now the adults are disappearing too, Lilli must save everyone . This is all happening because of the evil Veronica . Will Lilli be able to save the human race from extinction or will everyone disappear…. ",Special,"[' Miss Boone', ' Mrs Donnellan', ' Mrs Smith', ' Miss Foulkes', ' Ruby-Leigh Tonks', ' Owain Groves', ' Nicola Ralph', ' Miss Simpson', ' Nick Garnett', ' Richard Seymour']",#N/A
SA2016,Cuckoo Cop,2016,https://www.amazon.co.uk/gp/product/1523439386/ref=dbs_a_def_rwt_hsch_vapi_tu00_p1_i11,"This action, romance and adventure story will keep you on the edge of your seat. Here is a story about a corrupt cop who will pay the ultimate price of stealing drugs of one of the most powerful people in NYC. Wealthy cop or too wealthy? Is Gordon Bolton trying to drag Charlie into scandal or is he on his side forever? It starts in a city far far away called New York. Charlie pays the price of having blood on his hands and money in his pocket. His wife thinks about the welfare of the kids and leaves Charlie wondering what to do next. In a race against time to save the people he loves and to destroy Gordon Bolton once and for all... What would you do?",The Sutton Academy,"[' Mrs Sherman for approving the project.', ' Mr Lovelady for organizing it.', ' Mr Moreton and the ITC Department for letting us use EG01.', ' Miss Hughes for lending us the felt pens.', ' All the teachers who allowed us out of lessons.', ' Miss Moffat for helping Mr Edwards with the ', 'technology.', ' Jack Frodsham for giving us ideas at the beginning']",Yes
